iter	Passed	Remaining
0	28	56247
1	55	55807
2	83	55582
3	109	54568
4	136	54324
5	160	53485
6	186	53068
7	211	52608
8	239	52894
9	242	48199
10	269	48654
11	295	48935
12	324	49578
13	353	50165
14	381	50460
15	409	50819
16	439	51225
17	470	51802
18	498	52001
19	526	52118
20	555	52381
21	583	52443
22	611	52545
23	637	52497
24	667	52748
25	693	52636
26	723	52846
27	724	51051
28	753	51208
29	782	51385
30	809	51406
31	836	51428
32	863	51495
33	890	51520
34	916	51461
35	942	51428
36	967	51330
37	993	51298
38	1019	51284
39	1046	51263
40	1072	51223
41	1101	51336
42	1128	51344
43	1153	51279
44	1183	51396
45	1211	51480
46	1238	51478
47	1268	51571
48	1295	51586
49	1320	51513
50	1347	51492
51	1374	51486
52	1399	51425
53	1427	51460
54	1453	51383
55	1482	51467
56	1508	51427
57	1536	51442
58	1567	51552
59	1594	51563
60	1621	51532
61	1650	51595
62	1680	51659
63	1707	51659
64	1733	51609
65	1763	51677
66	1790	51654
67	1817	51631
68	1847	51698
69	1874	51694
70	1899	51610
71	1930	51688
72	1957	51661
73	1982	51609
74	2010	51602
75	2037	51570
76	2067	51634
77	2096	51659
78	2124	51654
79	2151	51625
80	2152	51003
81	2179	50970
82	2206	50953
83	2232	50933
84	2259	50894
85	2286	50877
86	2312	50844
87	2339	50820
88	2363	50756
89	2391	50744
90	2415	50665
91	2442	50650
92	2468	50611
93	2495	50605
94	2523	50599
95	2550	50587
96	2576	50553
97	2602	50503
98	2628	50478
99	2654	50444
100	2679	50376
101	2706	50355
102	2732	50327
103	2760	50327
104	2788	50324
105	2817	50337
106	2845	50337
107	2871	50296
108	2898	50277
109	2925	50261
110	2951	50224
111	2979	50229
112	3009	50254
113	3038	50264
114	3065	50241
115	3095	50273
116	3125	50297
117	3153	50288
118	3178	50241
119	3208	50264
120	3235	50241
121	3260	50195
122	3288	50186
123	3300	49939
124	3327	49916
125	3357	49935
126	3386	49950
127	3413	49915
128	3442	49926
129	3468	49896
130	3495	49876
131	3525	49892
132	3552	49861
133	3579	49852
134	3607	49830
135	3637	49850
136	3663	49818
137	3692	49828
138	3722	49844
139	3750	49826
140	3780	49839
141	3808	49835
142	3835	49804
143	3864	49805
144	3895	49840
145	3934	49959
146	3967	50007
147	3998	50035
148	4033	50105
149	4059	50071
150	4088	50060
151	4117	50057
152	4143	50022
