Feature,Importance
Profit_Margin,0.2188508462251678
Profit_Squared,0.17231245082546426
Profit,0.16696361132337464
Discount_x_Profit,0.09394410788262807
High_Profit,0.06907147146461863
Order ID,0.021333351027093543
Discount,0.01814889191430637
Discount_Squared,0.017930391957002276
Customer Name,0.017794085033786815
City,0.01673204710293526
Region_x_City,0.014583666838017035
DayOfYear,0.014542046210245853
Sub Category,0.014029648835640628
Category_x_SubCategory,0.012208047622179356
Month_x_DayOfWeek,0.01174506664883659
Day_Sin,0.01056712434219253
WeekOfYear,0.010324393377645995
Day_Cos,0.010118770021092474
Day,0.009911644097380927
Category,0.009361174208008818
DayOfWeek_Sin,0.007230089754595487
DayOfWeek,0.006903253356808393
Year,0.006788746313561903
Month_Cos,0.006232493570668011
Region,0.006196412181225394
Month_x_Quarter,0.006158861164597492
Month,0.006112337513404393
Month_Sin,0.0060408685298284385
DayOfWeek_Cos,0.0055294839289577345
High_Discount,0.0034413663271949534
Quarter,0.0024292356920448824
Quarter_Cos,0.002308880912124416
Quarter_Sin,0.0022446476922030646
IsWeekend,0.0019104861051676188
State,0.0
